ph,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Degree of Turbidity
7.2697539875948,25394.3685495829,4.88991004759243,345.285812073572,448.980357592332,16.4041237334556,43.1420163972432,4.97548646767789,0,Slightly Turbidity
7.079785231391082,18964.09225556579,8.14835846973079,318.99240588522815,354.10182991675475,15.072450177670817,84.1156733811639,4.600663396060018,1,Slightly Turbidity
7.079785231391082,37926.763693774,5.54373004804877,333.8544560831639,358.712374661859,12.473021714754,71.1198901742097,4.03487593336174,0,Slightly Turbidity
7.51905284377193,22102.3130091249,5.86671373106247,357.954577253413,351.66866176924,10.636192301634,66.864140327047,4.3459055058944,1,Slightly Turbidity
7.300990131038159,29136.33867680541,8.253015297361534,333.8544560831639,307.4333027094603,8.730149176517386,49.89534185518725,4.596347340478699,1,Slightly Turbidity
8.64653551186897,18200.3147958196,9.09899612704996,304.766441752702,503.314289430907,12.0594315687957,52.0287410482205,3.7802093693841,1,Slightly Turbidity
9.19289124014687,27051.9809926551,7.29422452273793,333.8544560831639,493.984109662698,10.0478897345564,50.4011602889972,3.47337491821109,1,Slightly Turbidity
8.79539731603159,20256.7498413914,7.80258853915154,300.766089220642,405.773894114095,10.1044230424173,84.7231065571983,4.49479937997972,0,Slightly Turbidity
5.34000939922009,35282.7056156809,6.31194551169924,333.8544560831639,277.090479718092,13.4291689329121,83.274894722186,3.66568191407002,1,Slightly Turbidity
9.33196712884506,15511.5210025912,4.91931362930168,333.8544560831639,280.616706880674,16.7885418659637,81.4271740172387,4.50519977405196,0,Slightly Turbidity
8.24444812148854,18675.4389631728,5.66272262034984,364.236387756389,360.969031455056,18.6820484394717,61.4628065058455,3.11838040471596,0,Slightly Turbidity
7.079785231391082,36290.74611241049,9.380013284090806,333.4451998122188,373.9201601805187,16.520495964276165,64.69669077703233,3.8177789531816533,0,Slightly Turbidity
9.66613739796958,10900.9822957148,5.99912505736214,358.660693733546,449.498678707988,14.0956358907549,47.100186143542,5.76894821513547,0,Turbidity
