"ph","Hardness","Solids","Chloramines","Sulfate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
,207.45686726224,20788.79620035,7.00107425814481,365.828818626634,566.872037353358,10.2770929736895,86.9909704615088,3.03228228661078,0
3.79145949368932,125.381664541665,18626.7353292905,6.47113935344524,,592.217145040958,15.0971772356437,56.3290762845176,4.60997767411518,0
7.96653394128176,221.067742708303,19908.2160215576,9.28230814288225,,419.34656753539,17.1578083555492,66.4200925117637,2.82920775053796,0
8.53695271489922,212.147142079256,22014.9889580779,8.08097249578975,354.496024877939,359.252555162479,18.7275023440008,100.34167436508,4.78483521342362,0
9.32349891664781,180.024243801692,17979.4276174761,6.25411051917298,313.932290640031,398.750019743522,11.294518660901,31.9979927274247,4.34301011146868,0
5.80776892420824,192.182740224889,28743.700078111,7.44148346977768,328.915095195746,282.670267983714,8.18881211162881,54.9178618419945,2.56939951713602,0
10.0397712964711,246.963183685956,28753.6385048167,7.6734544353641,391.492577823729,282.804532785241,13.8036027187836,84.6035561740236,2.76564077215996,0
8.75773111050114,203.674296048818,13675.6837616508,4.38496968867599,302.538765402594,479.546212111459,12.4830115129421,62.7983089629252,4.2359617398224,0
,123.367519858326,14285.7284583151,7.79777706292389,270.611218592494,385.541448583492,12.4977077152487,53.9288457675122,3.79528367067014,0
11.057157848339,231.640772027692,25485.8034885808,8.9034652447556,407.273451509081,559.48343603651,17.832892807128,71.9766010322192,4.55527140481346,0
7.28755806116417,163.889638790284,32456.1489914105,7.3179197934856,327.359281591827,424.68995413355,15.5820710277892,78.7400156643048,3.61481732576174,0
8.13776528811362,217.86684618637,18768.8858846097,8.07500761135302,,363.092471003991,14.6658504964261,76.4859111796516,4.11500421508457,0
7.33502454875959,161.035577570294,18731.996569733,3.8187668013195,277.930544862951,346.285880275023,15.7202790177111,79.5007783369744,3.55571167463344,0
,154.157317495303,27329.3052704116,6.93646134406851,297.816392213815,384.619263323407,19.0891687826984,76.5099955279583,4.39810262016615,0
7.60406582296534,201.753523921852,28386.4341738758,5.09610705937168,,440.63386313556,13.0569824669238,70.3002126469244,5.05451971508354,0
6.08208389387948,187.015659672917,41062.6818039033,9.8731945532764,364.842996997645,516.386785754228,11.4402952798777,75.0716172866378,4.24561728249006,0
6.86165196939128,214.554356052603,30979.9825170403,10.3668556652677,,311.45019030298,20.4166073424045,56.6516037897933,4.28701294848968,0
9.12411697385306,271.581025772521,24041.8172578277,6.93025428746013,394.579791602767,476.198097391838,13.6764258294543,71.4573622129516,4.32971516956264,0
